date,importer,product_en,product_name,product_type_en,country_origin_en,importer_ko,importer_en,notes
2025-01-15,록원,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,록원,Rokone,
2025-01-09,(주)진수녹용,FROZEN RED DEER VELVET ANTLER,생녹용,Deer velvet (frozen),New Zealand,(주)진수녹용,"Jinsoo Deer Co., Ltd.",
2024-12-27,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2024-12-19,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2024-12-12,화용제약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,화용제약,HwaYong Pharm.,
2024-12-09,(주)우성생약,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)우성생약,WooSung,
2024-12-09,한스약품주식회사,DRIED REDDEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,한스약품주식회사,Hans Pharm Inc,
2024-12-04,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2024-11-21,(주)온누리바이오생약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)온누리바이오생약,Onnuri Bio,
2024-11-20,대호제약주식회사,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,대호제약주식회사,Daeho Pharm.,
2024-11-04,(주)대원알디티,DEER HORNS VELVET ANTLER,녹용(건조),Deer velvet (dried),Russia,(주)대원알디티,DaeWon RTD,
2024-11-04,흥수녹용,DEER HORNS VELVET ANTLER,녹용(건조),Deer velvet (dried),Russia,흥수녹용,Heungsoo Nogyong,
