date,series,hs_code,hs_label,value,unit,country,notes,hs_code_10digit,product_type
2022-01,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",3846979,NZD,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-01,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-01,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-01,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-01,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",1329,KG,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",56456,NZD,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",7673,KG,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
